amount,result,time
564,-1.52798e-28,1e-06
566,2.57979e-42,1e-06
567,0,1e-06
568,-1.52797e-28,1e-06
569,3.07683e-41,1e-06
570,2.55737e-42,1e-06
571,0,1e-06
572,-1.52797e-28,1e-06
573,7.38344e-42,1e-06
574,2.53495e-42,1e-06
576,-1.52797e-28,1e-06
577,7.38344e-42,1e-06
578,2.51253e-42,1e-06
579,0,1e-06
580,-1.52797e-28,1e-06
581,7.38344e-42,1e-06
582,2.49011e-42,1e-06
583,0,1e-06
584,-1.52797e-28,1e-06
585,7.38344e-42,1e-06
587,7.38344e-42,1e-06
588,-1.52797e-28,1e-06
589,0,1e-06
590,2.44527e-42,1e-06
593,7.38344e-42,1e-06
594,2.42285e-42,2e-06
595,0,1e-06
596,-1.52797e-28,1e-06
597,7.38344e-42,1e-06
598,2.40042e-42,1e-06
599,0,1e-06
601,7.38344e-42,1e-06
602,2.378e-42,1e-06
603,0,1e-06
604,-1.52797e-28,1e-06
605,7.38344e-42,1e-06
606,2.35558e-42,1e-06
607,0,1e-06
608,-1.52797e-28,1e-06
609,7.38344e-42,1e-06
610,2.33316e-42,1e-06
611,0,1e-06
612,-1.52797e-28,1e-06
613,7.38344e-42,1e-06
614,2.31074e-42,1e-06
615,0,1e-06
618,2.28832e-42,1e-06
619,0,1e-06
620,-1.52797e-28,1e-06
622,2.2659e-42,1e-06
626,2.24348e-42,1e-06
627,0,1e-06
628,-1.52797e-28,1e-06
629,7.38344e-42,1e-06
630,2.22106e-42,1e-06
631,0,1e-06
633,7.38344e-42,1e-06
634,2.19864e-42,1e-06
635,0,1e-06
636,-1.52797e-28,1e-06
637,7.38344e-42,1e-06
638,2.17622e-42,1e-06
639,0,1e-06
640,-1.52797e-28,1e-06
641,7.38344e-42,1e-06
642,2.1538e-42,1e-06
643,0,1e-06
644,-1.52797e-28,1e-06
646,2.13137e-42,1e-06
647,0,1e-06
648,-1.52796e-28,1e-06
649,7.38344e-42,1e-06
650,2.10895e-42,1e-06
651,0,1e-06
652,-1.52796e-28,1e-06
653,7.38344e-42,1e-06
654,2.08653e-42,1e-06
655,0,1e-06
658,2.06411e-42,1e-06
659,0,1e-06
661,7.38344e-42,1e-06
662,2.04169e-42,1e-06
663,0,1e-06
664,-1.52796e-28,1e-06
665,7.38344e-42,1e-06
666,2.01927e-42,1e-06
668,-1.52796e-28,1e-06
669,7.38344e-42,1e-06
670,1.99685e-42,1e-06
671,0,1e-06
672,-1.52796e-28,1e-06
673,7.38344e-42,1e-06
674,1.97443e-42,1e-06
677,7.38344e-42,1e-06
678,1.95201e-42,1e-06
679,0,1e-06
680,-1.52796e-28,1e-06
681,7.38344e-42,1e-06
682,1.92959e-42,1e-06
683,0,1e-06
684,-1.52796e-28,1e-06
685,7.38344e-42,1e-06
686,1.90717e-42,1e-06
687,0,1e-06
688,-1.52796e-28,1e-06
690,1.88475e-42,1e-06
691,0,1e-06
692,-1.52796e-28,1e-06
693,7.38344e-42,1e-06
694,1.86233e-42,1e-06
695,0,2e-06
698,1.8399e-42,1e-06
699,0,1e-06
700,-1.52796e-28,1e-06
701,7.38344e-42,1e-06
702,1.81748e-42,1e-06
703,0,1e-06
704,-1.52796e-28,1e-06
706,1.79506e-42,1e-06
707,0,1e-06
708,-1.52796e-28,2e-06
709,7.38344e-42,1e-06
710,1.77264e-42,3e-06
711,0,1e-06
712,-1.52796e-28,1e-06
713,7.38344e-42,1e-06
714,1.75022e-42,2e-06
715,0,1e-06
716,-1.52796e-28,1e-06
717,7.38344e-42,1e-06
718,1.7278e-42,1e-06
719,0,1e-06
720,-1.52796e-28,1e-06
721,7.38344e-42,1e-06
722,1.70538e-42,1e-06
723,0,1e-06
724,-1.52796e-28,1e-06
725,7.38344e-42,1e-06
726,1.68296e-42,2e-06
727,0,1e-06
728,-1.52795e-28,1e-06
729,7.38344e-42,2e-06
730,1.66054e-42,1e-06
731,0,1e-06
732,-1.52795e-28,1e-06
733,7.38344e-42,1e-06
734,1.63812e-42,2e-06
735,0,1e-06
736,-1.52795e-28,2e-06
737,7.38344e-42,2e-06
738,1.6157e-42,1e-06
739,0,1e-06
740,-1.52795e-28,1e-06
741,7.38344e-42,1e-06
742,1.59328e-42,1e-06
743,0,2e-06
744,-1.52795e-28,2e-06
745,7.38344e-42,1e-06
746,1.57086e-42,2e-06
747,0,1e-06
748,-1.52795e-28,2e-06
749,7.38344e-42,2e-06
750,1.54843e-42,1e-06
751,0,1e-06
752,-1.52795e-28,2e-06
753,7.38344e-42,1e-06
755,0,1e-06
