amount,result,time
84000,0,1e-06
84100,0,1e-06
84200,0,1e-06
84300,0,1e-06
84400,0,0
84500,12072,0.012564
84600,0,1e-06
84700,0,1e-06
84800,12115,0.012169
84900,0,1e-06
85000,0,2e-06
85100,0,2e-06
85200,0,2e-06
85300,0,1e-06
85400,0,1e-06
85500,12215,0.012751
85600,0,2e-06
85700,0,2e-06
85800,12258,0.012562
85900,0,2e-06
86000,0,1e-06
86100,12300,0.013076
86200,0,2e-06
86300,12329,0.013017
86400,0,1e-06
86500,0,1e-06
86600,12372,0.012997
86700,0,1e-06
86800,0,1e-06
86900,12415,0.012114
87000,0,0
87100,0,1e-06
87200,0,0
87300,0,1e-06
87400,0,1e-06
87500,0,0
87600,12515,0.012257
87700,0,1e-06
87800,0,1e-06
87900,12558,0.011124
88000,0,1e-06
88100,0,1e-06
88200,0,1e-06
88300,0,1e-06
88400,0,1e-06
88500,0,1e-06
88600,12658,0.014226
88700,0,1e-06
88800,0,1e-06
88900,12700,0.013603
89000,0,2e-06
89100,0,1e-06
89200,0,1e-06
89300,0,1e-06
89400,0,1e-06
89500,0,1e-06
89600,12800,0.015197
89700,0,1e-06
89800,0,1e-06
89900,12843,0.013302
90000,0,1e-06
90100,0,1e-06
90200,12886,0.013437
90300,0,1e-06
90400,12915,0.013185
90500,0,1e-06
90600,0,1e-06
90700,12958,0.012518
90800,0,1e-06
90900,0,1e-06
91000,13000,0.012757
91100,0,1e-06
91200,0,1e-06
91300,0,1e-06
91400,0,1e-06
91500,0,1e-06
91600,0,0
91700,13100,0.012705
91800,0,1e-06
91900,0,1e-06
92000,13143,0.012657
92100,0,1e-06
92200,0,1e-06
92300,0,1e-06
92400,0,1e-06
92500,0,1e-06
92600,0,1e-06
92700,13243,0.012799
92800,0,1e-06
92900,0,1e-06
93000,13286,0.013222
93100,0,2e-06
93200,0,2e-06
93300,0,1e-06
93400,0,2e-06
93500,0,1e-06
93600,0,1e-06
93700,13386,0.013798
93800,0,1e-06
93900,0,0
94000,13429,0.013674
94100,0,0
94200,0,1e-06
94300,13472,0.013462
94400,0,1e-06
94500,13500,0.01304
94600,0,1e-06
94700,0,0
94800,13543,0.01219
94900,0,1e-06
95000,0,1e-06
95100,13586,0.012543
95200,0,1e-06
95300,0,1e-06
95400,0,1e-06
95500,0,1e-06
95600,0,1e-06
95700,0,2e-06
95800,13686,0.012689
95900,0,2e-06
96000,0,2e-06
96100,13729,0.013348
96200,0,1e-06
96300,0,1e-06
96400,0,1e-06
96500,0,1e-06
96600,0,2e-06
96700,0,1e-06
96800,13829,0.013668
96900,0,1e-06
97000,0,1e-06
97100,13872,0.01372
97200,0,1e-06
97300,0,1e-06
97400,0,1e-06
97500,0,2e-06
97600,0,2e-06
97700,0,1e-06
97800,13972,0.014143
97900,0,1e-06
98000,0,1e-06
98100,14015,0.014155
98200,0,1e-06
98300,0,4e-06
98400,0,1e-06
98500,0,2e-06
98600,0,1e-06
98700,0,1e-06
98800,14115,0.014386
98900,0,1e-06
99000,0,1e-06
99100,14158,0.014932
99200,0,1e-06
99300,0,0
99400,14200,0.014224
99500,0,1e-06
99600,14229,0.013863
99700,0,0
